INDEX,BANK NAME,INDUSTRY,START AFTER COVID19,ACTIVE MONTH,ACTIVE STATUS,TOTAL FREQUENCY,TOTAL AMOUNT (RM),AVERAGE AMOUNT (RM) PER MONTH,AVERAGE AMOUNT (RM) PER SALE,HALAL SOURCE DEFINED,HALAL SUPPLY CHAIN USAGE DEFINED
77,10,1,1,7,2,88,296444.52,42349.22,3368.69,0,1
79,10,1,1,7,2,308,295970,42281.43,960.94,0,1
82,10,1,0,10,2,230,293451.02,29345.1,1275.87,0,1
277,10,2,0,10,2,785,292803.11,29280.31,373,0,0
70,10,1,0,13,2,1223,292524,22501.85,239.19,0,1
78,10,1,0,9,2,126,289367.93,32151.99,2296.57,0,1
279,10,2,0,9,2,1774,286668.98,31852.11,161.59,0,0
132,8,1,0,2,1,371,283059.8,141529.9,762.96,0,1
469,8,7,0,10,2,493,279205,27920.5,566.34,1,1
88,10,1,0,6,1,32,276825.9,46137.65,8650.81,0,1
73,1,1,1,7,2,7905,275179.5,39311.36,34.81,0,1
146,8,1,0,3,1,3748,274316.53,91438.84,73.19,0,1
90,8,1,0,7,2,2,272161.5,38880.21,136080.75,0,1
92,10,1,0,12,2,3100,271045,22587.08,87.43,0,1
86,10,1,0,12,2,5384,269335.1,22444.59,50.03,0,1
91,10,1,0,8,2,1535,267854.21,33481.78,174.5,0,1
85,10,1,0,10,2,1342,267605,26760.5,199.41,0,1
83,10,1,0,4,1,2963,266650,66662.5,89.99,0,1
96,10,1,0,3,1,83,264482.11,88160.7,3186.53,0,1
278,2,2,1,6,1,4168,263407.54,43901.26,63.2,0,0
360,10,4,0,10,2,739,262698.79,26269.88,355.48,1,1
95,10,1,0,13,2,471,262434,20187.23,557.18,0,1
72,10,1,1,6,1,2210,259371.9,43228.65,117.36,0,1
345,10,7,0,10,2,815,259360,25936,318.23,1,1
